date,open,high,low,close,adj close,volume
1993-01-29,43.968700,43.968700,43.750000,43.937500,27.357319,1003200
1993-02-01,43.968700,44.250000,43.968700,44.250000,27.551905,480500
1993-02-02,44.218700,44.375000,44.125000,44.343700,27.610243,201300
1993-02-03,44.406200,44.843700,44.375000,44.812500,27.902132,529400
1993-02-04,44.968700,45.093700,44.468700,45.000000,28.018873,531500
1993-02-05,44.968700,45.062500,44.718700,44.968700,27.999384,492100
1993-02-08,44.968700,45.125000,44.906200,44.968700,27.999384,596100
1993-02-09,44.812500,44.812500,44.562500,44.656200,27.804811,122100
1993-02-10,44.656200,44.750000,44.531200,44.718700,27.843721,379600
1993-02-11,44.781200,45.125000,44.781200,44.937500,27.979973,19500
1993-02-12,44.875000,44.875000,44.593700,44.593700,27.765888,42500
1993-02-16,44.468700,44.468700,43.406200,43.468700,27.065430,374800
1993-02-17,43.468700,43.531200,43.281200,43.437500,27.046007,210900
1993-02-18,43.937500,43.937500,42.812500,43.406200,27.026510,378100
1993-02-19,43.406200,43.562500,43.343700,43.562500,27.123823,34900
1993-02-22,43.687500,43.781200,43.562500,43.718700,27.221069,513600
1993-02-23,43.843700,43.875000,43.468700,43.687500,27.201672,373700
1993-02-24,43.718700,44.250000,43.718700,44.250000,27.551905,26300
1993-02-25,44.218700,44.375000,44.125000,44.343700,27.610243,44500
1993-02-26,44.437500,44.437500,44.187500,44.406200,27.649151,66200
1993-03-01,44.562500,44.562500,44.218700,44.281200,27.571312,66500
1993-03-02,44.312500,44.937500,44.250000,44.937500,27.979973,182400
1993-03-03,45.000000,45.156200,44.937500,45.125000,28.096714,280100
1993-03-04,45.187500,45.187500,44.875000,44.875000,27.941048,89500
1993-03-05,44.937500,45.125000,44.718700,44.750000,27.863218,40000
1993-03-08,44.843700,45.750000,44.843700,45.750000,28.485851,50800
1993-03-09,45.656200,45.687500,45.500000,45.593700,28.388535,169300
1993-03-10,45.593700,45.687500,45.406200,45.687500,28.446934,194400
1993-03-11,45.718700,45.843700,45.500000,45.562500,28.369133,70900
1993-03-12,45.187500,45.218700,44.812500,45.093700,28.077213,643600
1993-03-15,45.062500,45.312500,45.062500,45.312500,28.213457,310800
1993-03-16,45.312500,45.437500,45.312500,45.312500,28.213457,30800
1993-03-17,45.250000,45.250000,44.968700,45.031200,28.038307,21800
1993-03-18,45.218700,45.500000,45.218700,45.312500,28.213457,59300
1993-03-19,45.281200,45.281200,45.031200,45.031200,28.170727,66900
1993-03-22,44.593700,44.875000,44.562500,44.781200,28.014334,183400
1993-03-23,44.906200,44.937500,44.812500,44.875000,28.072998,55200
1993-03-24,44.812500,45.062500,44.593700,44.875000,28.072998,37200
1993-03-25,44.906200,45.250000,44.843700,45.156200,28.248932,110100
1993-03-26,45.125000,45.156200,44.875000,44.906200,28.092522,101500
1993-03-29,44.937500,45.312500,44.937500,45.093700,28.209822,87100
1993-03-30,45.156200,45.218700,45.093700,45.218700,28.288017,56000
1993-03-31,45.343700,45.468700,45.187500,45.187500,28.268488,111600
1993-04-01,45.250000,45.250000,44.937500,45.031200,28.170727,129500
1993-04-02,44.656200,44.656200,44.093700,44.093700,27.584238,59400
1993-04-05,44.437500,44.437500,44.187500,44.312500,27.721130,172200
1993-04-06,44.406200,44.406200,44.062500,44.187500,27.642916,129700
1993-04-07,44.250000,44.343700,44.156200,44.343700,27.740646,28000
1993-04-08,44.531200,44.531200,44.093700,44.281200,27.701548,180800
1993-04-12,44.718700,44.937500,44.656200,44.906200,28.092522,348500
1993-04-13,44.875000,45.156200,44.843700,45.000000,28.151213,146100
1993-04-14,45.031200,45.062500,44.906200,44.937500,28.112104,119600
1993-04-15,44.906200,45.031200,44.750000,44.937500,28.112104,148600
1993-04-16,44.968700,45.031200,44.875000,44.937500,28.112104,47900
1993-04-19,44.937500,45.062500,44.718700,44.750000,27.994804,157000
1993-04-20,44.687500,44.750000,44.250000,44.531200,27.857948,279500
1993-04-21,44.625000,44.625000,44.375000,44.500000,27.838428,67900
1993-04-22,44.312500,44.687500,43.937500,43.937500,27.486525,97700
1993-04-23,43.843700,43.968700,43.687500,43.750000,27.369234,106000
1993-04-26,43.781200,43.937500,43.281200,43.406200,27.154160,62600
1993-04-27,43.343700,43.875000,43.343700,43.875000,27.447424,156800
1993-04-28,43.812500,43.906200,43.718700,43.781200,27.388746,85900
1993-04-29,43.875000,43.968700,43.625000,43.968700,27.506029,85000
1993-04-30,44.125000,44.281200,44.031200,44.031200,27.545139,88500
1993-05-03,44.093700,44.312500,43.906200,44.312500,27.721130,80500
1993-05-04,44.406200,44.625000,44.343700,44.468700,27.818830,149100
1993-05-05,44.468700,44.750000,44.468700,44.593700,27.897036,109000
1993-05-06,44.531200,44.562500,44.406200,44.437500,27.799326,54700
1993-05-07,44.468700,44.468700,44.281200,44.343700,27.740646,68000
1993-05-10,44.406200,44.687500,44.406200,44.437500,27.799326,113900
1993-05-11,44.437500,44.625000,44.312500,44.625000,27.916626,42600
1993-05-12,44.437500,44.593700,44.437500,44.562500,27.877501,31000
1993-05-13,44.375000,44.375000,44.000000,44.031200,27.545139,129100
1993-05-14,44.031200,44.156200,43.968700,44.000000,27.525614,63500
1993-05-17,44.125000,44.156200,43.937500,44.156200,27.623343,34000
1993-05-18,44.187500,44.218700,43.968700,44.125000,27.603825,105200
1993-05-19,44.125000,45.031200,43.843700,45.031200,28.170727,50200
1993-05-20,45.031200,45.156200,44.937500,45.156200,28.248932,98200
1993-05-21,45.187500,45.250000,44.718700,44.750000,27.994804,221400
1993-05-24,44.843700,45.093700,44.843700,44.937500,28.112104,30500
1993-05-25,45.125000,45.125000,45.031200,45.031200,28.170727,191800
1993-05-26,45.156200,45.625000,45.125000,45.593700,28.522617,102400
1993-05-27,45.656200,45.656200,45.375000,45.437500,28.424904,53800
1993-05-28,45.406200,45.406200,45.000000,45.218700,28.288017,79100
1993-06-01,45.375000,45.812500,45.312500,45.656200,28.561708,28300
1993-06-02,45.531200,45.750000,45.343700,45.593700,28.522617,20300
1993-06-03,45.500000,45.500000,45.343700,45.437500,28.424904,21600
1993-06-04,45.312500,45.312500,45.093700,45.281200,28.327120,32000
1993-06-07,45.375000,45.375000,45.125000,45.125000,28.229416,121400
1993-06-08,45.000000,45.000000,44.718700,44.718700,27.975224,104500
1993-06-09,44.875000,45.062500,44.812500,44.875000,28.072998,43300
1993-06-10,44.843700,44.937500,44.750000,44.906200,28.092522,17900
1993-06-11,45.062500,45.156200,44.906200,45.093700,28.209822,647400
1993-06-14,45.156200,45.187500,45.031200,45.031200,28.170727,64200
1993-06-15,45.093700,45.125000,44.937500,44.937500,28.112104,142400
1993-06-16,44.937500,45.031200,44.812500,45.031200,28.170727,330900
1993-06-17,45.125000,45.187500,45.031200,45.187500,28.268488,37400
1993-06-18,44.843700,44.843700,44.500000,44.500000,28.035723,58500
1993-06-21,44.625000,44.625000,44.531200,44.593700,28.094744,29300
1993-06-22,44.656200,44.656200,44.562500,44.625000,28.114460,137500
1993-06-23,44.625000,44.625000,44.218700,44.218700,27.858484,227600
1993-06-24,44.343700,44.812500,44.343700,44.812500,28.232590,243700
1993-06-25,44.781200,44.906200,44.750000,44.781200,28.212860,44800
1993-06-28,45.000000,45.281200,44.937500,45.281200,28.527874,439900
1993-06-29,45.218700,45.218700,45.000000,45.062500,28.390095,207500
1993-06-30,45.125000,45.218700,45.000000,45.062500,28.390095,437600
1993-07-01,45.125000,45.125000,44.875000,44.937500,28.311354,605700
1993-07-02,44.781200,44.812500,44.531200,44.687500,28.153845,285400
1993-07-06,44.625000,44.750000,44.156200,44.218700,27.858484,246400
1993-07-07,44.187500,44.406200,44.187500,44.343700,27.937254,343700
1993-07-08,44.375000,44.937500,44.312500,44.843700,28.252249,248200
1993-07-09,44.843700,44.968700,44.750000,44.968700,28.331005,378200
1993-07-12,44.906200,44.968700,44.843700,44.937500,28.311354,373700
1993-07-13,44.968700,45.093700,44.656200,44.906200,28.291630,389600
